[13:34:55.502] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 1, meta.microsecs = 297, time_diff = 1321, curr_tstamp = 48657694, prev_tstamp = 48656373, diff_repr = 20, milli_hex = 1, micro_hex = 4
[13:34:55.503] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 0, meta.microsecs = 678, time_diff = 678, curr_tstamp = 48658372, prev_tstamp = 48657694, diff_repr = 10, milli_hex = 0, micro_hex = 10
[13:34:55.504] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 1, meta.microsecs = 321, time_diff = 1345, curr_tstamp = 48659717, prev_tstamp = 48658372, diff_repr = 21, milli_hex = 1, micro_hex = 5
[13:34:55.505] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 2, meta.microsecs = 983, time_diff = 3031, curr_tstamp = 48659997, prev_tstamp = 48656966, diff_repr = 47, milli_hex = 2, micro_hex = 15
[13:34:55.506] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 1, meta.microsecs = 652, time_diff = 1676, curr_tstamp = 48661673, prev_tstamp = 48659997, diff_repr = 26, milli_hex = 1, micro_hex = 10
[13:34:55.507] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 2, meta.microsecs = 406, time_diff = 2454, curr_tstamp = 48662171, prev_tstamp = 48659717, diff_repr = 38, milli_hex = 2, micro_hex = 6
[13:34:55.508] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 0, meta.microsecs = 596, time_diff = 596, curr_tstamp = 48662767, prev_tstamp = 48662171, diff_repr = 9, milli_hex = 0, micro_hex = 9
[13:34:55.509] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 0, meta.microsecs = 610, time_diff = 610, curr_tstamp = 48663377, prev_tstamp = 48662767, diff_repr = 9, milli_hex = 0, micro_hex = 9
[13:34:55.510] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 0, meta.microsecs = 684, time_diff = 684, curr_tstamp = 48664061, prev_tstamp = 48663377, diff_repr = 10, milli_hex = 0, micro_hex = 10
[13:34:55.511] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 0, meta.microsecs = 786, time_diff = 786, curr_tstamp = 48664847, prev_tstamp = 48664061, diff_repr = 12, milli_hex = 0, micro_hex = 12
[13:34:55.511] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 0, meta.microsecs = 549, time_diff = 549, curr_tstamp = 48665396, prev_tstamp = 48664847, diff_repr = 8, milli_hex = 0, micro_hex = 8
[13:34:55.512] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 3, meta.microsecs = 931, time_diff = 4003, curr_tstamp = 48665676, prev_tstamp = 48661673, diff_repr = 62, milli_hex = 3, micro_hex = 14
[13:34:55.513] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 0, meta.microsecs = 848, time_diff = 848, curr_tstamp = 48666524, prev_tstamp = 48665676, diff_repr = 13, milli_hex = 0, micro_hex = 13
[13:34:55.514] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 0, meta.microsecs = 923, time_diff = 923, curr_tstamp = 48667447, prev_tstamp = 48666524, diff_repr = 14, milli_hex = 0, micro_hex = 14
[13:34:55.515] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 2, meta.microsecs = 200, time_diff = 2248, curr_tstamp = 48667644, prev_tstamp = 48665396, diff_repr = 35, milli_hex = 2, micro_hex = 3
[13:34:55.515] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 0, meta.microsecs = 836, time_diff = 836, curr_tstamp = 48668283, prev_tstamp = 48667447, diff_repr = 13, milli_hex = 0, micro_hex = 13
[13:34:55.516] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 0, meta.microsecs = 1009, time_diff = 1009, curr_tstamp = 48668653, prev_tstamp = 48667644, diff_repr = 15, milli_hex = 0, micro_hex = 15
[13:34:55.517] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 0, meta.microsecs = 724, time_diff = 724, curr_tstamp = 48669007, prev_tstamp = 48668283, diff_repr = 11, milli_hex = 0, micro_hex = 11
[13:34:55.518] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 0, meta.microsecs = 758, time_diff = 758, curr_tstamp = 48669411, prev_tstamp = 48668653, diff_repr = 11, milli_hex = 0, micro_hex = 11
[13:34:55.518] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 0, meta.microsecs = 698, time_diff = 698, curr_tstamp = 48670109, prev_tstamp = 48669411, diff_repr = 10, milli_hex = 0, micro_hex = 10
[13:34:55.519] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 0, meta.microsecs = 810, time_diff = 810, curr_tstamp = 48670919, prev_tstamp = 48670109, diff_repr = 12, milli_hex = 0, micro_hex = 12
[13:34:55.520] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 0, meta.microsecs = 672, time_diff = 672, curr_tstamp = 48671591, prev_tstamp = 48670919, diff_repr = 10, milli_hex = 0, micro_hex = 10
[13:34:55.521] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 3, meta.microsecs = 204, time_diff = 3276, curr_tstamp = 48672283, prev_tstamp = 48669007, diff_repr = 51, milli_hex = 3, micro_hex = 3
[13:34:55.522] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 1, meta.microsecs = 467, time_diff = 1491, curr_tstamp = 48673774, prev_tstamp = 48672283, diff_repr = 23, milli_hex = 1, micro_hex = 7
[13:34:55.522] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 3, meta.microsecs = 16, time_diff = 3088, curr_tstamp = 48674679, prev_tstamp = 48671591, diff_repr = 48, milli_hex = 3, micro_hex = 0
[13:34:55.523] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 0, meta.microsecs = 499, time_diff = 499, curr_tstamp = 48675178, prev_tstamp = 48674679, diff_repr = 7, milli_hex = 0, micro_hex = 7
[13:34:55.524] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 1, meta.microsecs = 690, time_diff = 1714, curr_tstamp = 48675488, prev_tstamp = 48673774, diff_repr = 26, milli_hex = 1, micro_hex = 10
[13:34:55.525] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 0, meta.microsecs = 596, time_diff = 596, curr_tstamp = 48676084, prev_tstamp = 48675488, diff_repr = 9, milli_hex = 0, micro_hex = 9
[13:34:55.526] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 1, meta.microsecs = 530, time_diff = 1554, curr_tstamp = 48676732, prev_tstamp = 48675178, diff_repr = 24, milli_hex = 1, micro_hex = 8
[13:34:55.526] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 0, meta.microsecs = 810, time_diff = 810, curr_tstamp = 48676894, prev_tstamp = 48676084, diff_repr = 12, milli_hex = 0, micro_hex = 12
